,value,type,type_line,datetime
355,0.0,,Citrine Amulet,2020-04-18 19:54:37.152957
356,0.0,,Coral Ring,2020-04-18 19:54:37.152957
357,0.0,,Sapphire Ring,2020-04-18 19:54:37.152957
358,1.0,UniqueJewel,Viridian Jewel,2020-04-18 19:54:37.152957
359,0.0,,Coral Ring,2020-04-18 19:54:37.152957
360,0.0,,Topaz Ring,2020-04-18 19:54:37.152957
361,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
362,0.0,,Lapis Amulet,2020-04-18 19:54:37.152957
363,0.0,,Topaz Ring,2020-04-18 19:54:37.152957
364,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
365,0.0,,Topaz Ring,2020-04-18 19:54:37.152957
366,0.0,,Topaz Ring,2020-04-18 19:54:37.152957
367,0.0,,Lapis Amulet,2020-04-18 19:54:37.152957
368,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
369,0.0,,Sapphire Ring,2020-04-18 19:54:37.152957
370,0.0,,Searching Eye Jewel,2020-04-18 19:54:37.152957
371,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
372,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
373,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
374,0.0,,Leather Belt,2020-04-18 19:54:37.152957
375,0.0,,Sapphire Ring,2020-04-18 19:54:37.152957
376,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
377,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
378,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
379,3.0,UniqueJewel,Small Cluster Jewel,2020-04-18 19:54:37.152957
380,0.0,,Sapphire Ring,2020-04-18 19:54:37.152957
381,0.0,,Agate Amulet,2020-04-18 19:54:37.152957
382,0.0,,Turquoise Amulet,2020-04-18 19:54:37.152957
383,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
384,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
385,0.0,,Lapis Amulet,2020-04-18 19:54:37.152957
386,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
387,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
388,0.0,,Citrine Amulet,2020-04-18 19:54:37.152957
389,0.0,,Jade Amulet,2020-04-18 19:54:37.152957
390,0.0,,Citrine Amulet,2020-04-18 19:54:37.152957
391,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
392,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
393,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
394,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
395,0.0,,Vermillion Ring,2020-04-18 19:54:37.152957
396,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
397,0.0,,Heavy Belt,2020-04-18 19:54:37.152957
398,0.0,,Diamond Ring,2020-04-18 19:54:37.152957
399,0.0,,Coral Ring,2020-04-18 19:54:37.152957
400,1.0,UniqueJewel,Crimson Jewel,2020-04-18 19:54:37.152957
401,0.0,,Ruby Ring,2020-04-18 19:54:37.152957
402,0.0,,Two-Stone Ring,2020-04-18 19:54:37.152957
403,0.0,,Rustic Sash,2020-04-18 19:54:37.152957
404,0.0,,Coral Ring,2020-04-18 19:54:37.152957
405,0.0,,Amethyst Ring,2020-04-18 19:54:37.152957
406,1.0,UniqueWeapon,Ezomyte Staff,2020-04-18 19:54:37.152957
407,2.0,UniqueArmour,Prophet Crown,2020-04-18 19:54:37.152957
408,0.0,,Ivory Watchstone,2020-04-18 19:54:37.152957
409,1.8122436734693879,Currency,Turbulent Catalyst,2020-04-18 19:54:37.152957
410,3.5,Fossil,Pristine Fossil,2020-04-18 19:54:37.152957
411,3.04,Fossil,Scorched Fossil,2020-04-18 19:54:37.152957
412,1.0,Incubator,Fossilised Incubator,2020-04-18 19:54:37.152957
413,1.0,Incubator,Fragmented Incubator,2020-04-18 19:54:37.152957
